TeamA,TeamB,y
1163,1391,1
1235,1355,1
1228,1287,1
1120,1463,0
1361,1412,1
1140,1182,0
1450,1179,1
1194,1321,0
1163,1321,1
1235,1450,1
1228,1182,1
1463,1361,0
1163,1361,1
1235,1228,0
1163,1228,1
1314,1447,1
1112,1253,1
1124,1159,1
1104,1158,1
1388,1213,0
1155,1307,1
1173,1305,1
1280,1277,0
1314,1277,1
1112,1173,1
1124,1155,0
1104,1213,1
1314,1104,0
1112,1155,0
1104,1155,1
1345,1212,1
1397,1389,1
1166,1103,1
1242,1359,1
1211,1270,1
1376,1332,0
1400,1161,1
1429,1395,1
1345,1429,1
1397,1400,1
1166,1332,1
1242,1211,0
1345,1211,1
1397,1166,1
1345,1397,1
1222,1255,1
1266,1443,1
1246,1324,0
1181,1436,1
1458,1241,0
1403,1301,0
1196,1160,0
1304,1401,0
1222,1401,1
1266,1160,1
1324,1301,0
1181,1241,1
1222,1181,0
1266,1301,0
1181,1301,0
1163,1104,1
1345,1301,1
1163,1345,1
