,index,TeamID,luck
0,12,1102,-0.036
1,25,1103,-0.005
2,38,1104,-0.013
3,51,1112,-0.031
4,64,1116,0.058
5,77,1119,-0.042
6,90,1120,-0.084
7,103,1122,0.04
8,116,1124,-0.009
9,129,1125,0.076
10,142,1127,0.054
11,155,1130,-0.041
12,168,1132,0.065
13,181,1133,-0.021
14,194,1135,0.003
15,207,1136,0.084
16,220,1137,-0.009
17,233,1138,-0.01
18,246,1139,-0.01
19,256,1140,-0.031
20,269,1142,-0.007
21,282,1143,-0.019
22,295,1144,0.01
23,308,1145,0.013
24,322,1150,0.047
25,335,1151,0.046
26,348,1153,-0.091
27,361,1155,-0.021
28,374,1159,0.041
29,387,1160,-0.003
30,400,1162,-0.047
31,413,1163,0.043
32,426,1165,0.054
33,439,1166,-0.014
34,452,1171,-0.017
35,465,1172,-0.057
36,478,1173,0.017
37,491,1174,-0.02
38,504,1176,-0.017
39,517,1177,-0.02
40,540,1179,0.051
41,553,1180,-0.022
42,566,1181,-0.055
43,579,1182,0.017
44,592,1187,0.001
45,605,1189,0.069
46,618,1191,0.063
47,631,1193,0.01
48,644,1196,-0.005
49,657,1200,-0.01
50,670,1202,-0.068
51,683,1205,0.053
52,696,1206,-0.014
53,709,1207,-0.004
54,722,1208,-0.013
55,735,1210,0.065
56,748,1211,-0.053
57,761,1213,0.027
58,774,1214,-0.022
59,799,1217,0.109
60,812,1218,-0.032
61,825,1219,-0.027
62,838,1220,-0.023
63,851,1221,0.028
64,864,1222,0.023
65,877,1224,-0.009
66,890,1225,-0.014
67,903,1228,-0.056
68,913,1230,-0.009
69,926,1231,0.104
70,939,1233,-0.074
71,952,1234,-0.016
72,965,1237,-0.017
73,978,1239,0.045
74,991,1241,0.026
75,1004,1242,0.044
76,1017,1246,-0.041
77,1030,1247,0.041
78,1043,1248,-0.024
79,1056,1249,-0.063
80,1069,1250,-0.089
81,1082,1251,-0.043
82,1095,1252,0.025
83,1114,1255,-0.078
84,1127,1256,-0.05
85,1140,1257,-0.018
86,1153,1259,-0.029
87,1163,1261,-0.009
88,1176,1263,-0.035
89,1189,1264,-0.002
90,1202,1265,-0.0
91,1215,1266,0.036
92,1228,1267,-0.007
93,1241,1268,-0.116
94,1254,1269,-0.101
95,1267,1272,0.061
96,1280,1273,0.02
97,1293,1274,-0.038
98,1306,1275,-0.015
99,1319,1276,-0.084
100,1332,1278,-0.04
101,1345,1279,0.11
102,1358,1281,-0.128
103,1371,1285,0.07
104,1384,1298,-0.022
105,1397,1304,0.019
106,1410,1305,0.064
107,1423,1306,0.114
108,1436,1307,-0.009
109,1447,1309,-0.062
110,1460,1310,0.031
111,1470,1312,0.026
112,1483,1314,-0.034
113,1496,1315,0.055
114,1509,1316,0.013
115,1522,1317,-0.114
116,1535,1318,-0.014
117,1548,1319,0.12
118,1561,1320,0.017
119,1574,1321,0.047
120,1587,1323,-0.038
121,1600,1324,0.054
122,1613,1325,-0.099
123,1626,1328,-0.002
124,1639,1330,-0.088
125,1652,1331,0.006
126,1665,1332,0.021
127,1678,1334,-0.005
128,1688,1335,-0.077
129,1701,1337,-0.049
130,1714,1338,-0.0
131,1727,1339,0.039
132,1740,1342,-0.017
133,1753,1343,0.043
134,1766,1344,0.028
135,1779,1345,0.046
136,1792,1346,0.113
137,1805,1347,0.017
138,1818,1348,0.012
139,1831,1349,-0.041
140,1844,1350,0.027
141,1857,1351,-0.044
142,1870,1352,-0.1
143,1883,1353,0.02
144,1896,1357,-0.029
145,1909,1359,0.12
146,1922,1360,0.141
147,1935,1362,-0.021
148,1948,1364,-0.009
149,1961,1365,0.007
150,1974,1370,-0.053
151,1987,1371,0.06
152,2000,1373,0.017
153,2010,1374,-0.071
154,2023,1375,0.051
155,2036,1376,0.145
156,2049,1377,0.007
157,2062,1378,0.089
158,2072,1379,0.063
159,2085,1381,-0.087
160,2098,1390,-0.056
161,2111,1391,0.115
162,2124,1392,0.049
163,2137,1393,0.136
164,2147,1395,-0.046
165,2160,1396,-0.019
166,2173,1397,-0.037
167,2186,1399,-0.044
168,2199,1400,-0.016
169,2212,1403,0.019
170,2225,1405,0.012
171,2238,1406,0.022
172,2251,1407,-0.026
173,2264,1408,-0.08
174,2277,1409,-0.011
175,2290,1412,0.138
176,2303,1413,0.023
177,2316,1414,-0.036
178,2329,1415,0.015
179,2339,1416,-0.064
180,2352,1417,-0.027
181,2357,1418,-0.039
182,2367,1420,-0.06
183,2377,1421,0.055
184,2387,1422,0.101
185,2397,1423,0.024
186,2407,1424,0.013
187,2417,1425,-0.092
188,2427,1426,0.013
189,2440,1428,0.003
190,2453,1430,-0.016
191,2463,1431,-0.026
192,2473,1433,-0.007
193,2486,1434,-0.036
194,2499,1435,0.017
195,2512,1436,0.041
196,2525,1437,-0.081
197,2538,1438,0.119
198,2551,1439,-0.052
199,2561,1440,-0.066
200,2574,1447,0.005
201,2587,1448,-0.096
202,2600,1449,-0.076
203,2613,1452,0.002
204,2626,1456,-0.062
205,2639,1457,-0.04
206,2652,1458,-0.023
207,2665,1459,0.059
208,2678,1461,0.113
209,2691,1462,-0.063
210,2704,1463,0.012
211,2709,1465,-0.053
212,2714,1466,-0.013
213,2718,1467,0.03
214,2722,1468,-0.049
215,2724,1469,0.041
216,2728,1471,-0.017
217,2730,1473,0.022
218,2732,1475,-0.078
219,2734,1476,-0.078
220,2735,1478,-0.059
